id,url,description,title,overview,items,amenities
1742183693245795382,https://fr.airbnb.com/rooms/1742183693245795382,Studio Cosy Gauthier au Pied des Twins Center,"✨ Situé dans le prestigieux quartier Gauthier, ce superbe appartement moderne, calme et lumineux vous offre tout le confort nécessaire. Il comprend une chambre avec un matelas neuf, un salon chaleureux, une cuisine entièrement équipée et une grande salle de bain moderne <br />Profitez d’un emplacement exceptionnel, à deux pas des Twin Center, des meilleurs restaurants, cafés et commerces 🏬 <br />🚗 Parking souterrain sécurisé. <br />💼 Idéal pour les séjours d’affaires et de loisirs. <br />💎 Emplacement Premium.","Logement entier : appartement - Casablanca, Maroc","['4 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Eau chaude']}, {'Chambre et linge': ['Lave-linge', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Fer à repasser', 'Étendoir à linge', 'Espace de rangement pour les vêtements']}, {'Divertissement': ['Télévision']}, {'Famille': ['Lit parapluie']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage']}, {'Sécurité à la maison': ['Extincteur', 'Trousse de premiers secours']}, {'Internet et bureau': ['Wifi', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Four à micro-ondes', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière', 'Four', 'Bouilloire électrique', 'Cafetière', 'Grille-pain', 'Plaques de cuisson', 'Blender', 'Table à manger', 'Café']}, {""Caractéristiques de l'emplacement"": ['Entrée privée', 'Laverie automatique à proximité']}, {'Extérieur': ['Patio ou balcon']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Ascenseur']}, {'Services': ['Animaux acceptés', 'Dépôt de bagages autorisé', 'Logement fumeur', 'Séjours longue durée autorisés', 'Arrivée autonome', 'Boîte à clé sécurisée', 'Service de ménage disponible de 12:00 à 14:00, tous les jours\xa0: disponible moyennant un supplément']}]"
id,url,title,description,overview,items,amenities
1741257127829890999,https://fr.airbnb.com/rooms/1741257127829890999,Moderne et confortable | Séjour premium • Les Princesses,"✨ Bienvenue chez Modern & Cosy Condos. Découvrez ce spacieux appartement d'une chambre, meublé avec goût, situé au 5ᵉ étage d'une résidence neuve et sécurisée aux Princesses. Profitez d'un balcon traversant, d'un lit Queen Size, de deux Smart TV avec Netflix & IPTV, du Wi-Fi fibre, d'une cuisine entièrement équipée avec lave-vaisselle, d'une place de parking et de toutes les commodités à proximité. Idéal pour jusqu'à 3 voyageurs.","Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Fer à repasser', 'Étendoir à linge', 'Espace de rangement pour les vêtements\xa0: placard']}, {'Divertissement': ['TV HD 55\xa0pouces avec Netflix']}, {'Famille': ['Lit parapluie\xa0: disponible sur demande', 'Grilles de fenêtre']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage']}, {'Internet et bureau': ['Wifi rapide (60\xa0Mbit/s)', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Lave-vaisselle', 'Cuisinière', 'Four', 'Bouilloire électrique', 'Cafetière\xa0: Nespresso', 'Verres à vin', 'Grille-pain', 'Blender', 'Table à manger', 'Café']}, {'Extérieur': [""Mobilier d'extérieur""]}, {'Parking et installations': ['Stationnement gratuit sur place', 'Ascenseur']}, {'Services': ['Séjours longue durée autorisés', 'Arrivée autonome', 'Serrure numérique', 'Service de ménage\xa0: disponible moyennant un supplément']}]"
id,url,description,title,overview,items,amenities
1753780890354006209,https://fr.airbnb.com/rooms/1753780890354006209,"À la Recherche d'un Appartement avec le confort d'un Hôtel Étoilé à un Prix Abordable   ?<br /><br />Si Oui, Réservez dès Maintenant  !<br /><br />Confort, charme et Emplacement Exceptionnels<br /><br />Cet appartement est idéalement situé sur Bd Abdelmoumen, en face de la station de Tramway et à  3 minutes de la gare de train Oasis. <br /><br />Parfait pour vos vacances ou vos voyages d'affaires, Blanca Parc vous permet de découvrir la ville et ses environs avec facilité.",Blanca Parc Signature C208,"Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Shampoing', 'Eau chaude']}, {'Chambre et linge': ['Lave-linge', 'Produits de base', 'Cintres', 'Linge de lit', 'Stores ou rideaux occultants', 'Fer à repasser', 'Étendoir à linge', 'Espace de rangement pour les vêtements\xa0: placard']}, {'Divertissement': ['Télévision']}, {'Famille': ['Lit pour bébé\xa0: disponible sur demande']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage central']}, {'Sécurité à la maison': ['Caméras de surveillance extérieures présentes sur place', 'Détecteur de fumée', 'Détecteur de monoxyde de carbone', 'Extincteur']}, {'Internet et bureau': ['Wifi']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Four à micro-ondes', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière électrique Other', 'Four', 'Bouilloire électrique', 'Cafetière\xa0: Nespresso', 'Blender', 'Table à manger', 'Café']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue', 'Ascenseur', 'Logement de plain-pied', 'Résidence protégée', 'Compost', 'Recyclage']}, {'Services': ['Séjours longue durée autorisés', 'Arrivée autonome', 'Serrure numérique', 'Service de ménage disponible tous les jours\xa0: disponible moyennant un supplément']}]"
id,url,description,title,overview,items,amenities
1582054884895365217,https://fr.airbnb.com/rooms/1582054884895365217,"Magnifique Studio ultra moderne, soigneusement décoré digne des hôtels étoilés les plus raffinés, avec PARKING PRIVÉ et ARRIVEE AUTONOME. Situé au PRESTIGIEUX quartier de MAARIF, au CŒUR de Casablanca.<br /><br />Bienvenue dans ce superbe studio ultra moderne, idéalement situé au cœur de la ville de Casablanca, à seulement 100m du tramway et proche de toutes les commodités et des principales gares de la ville.","Luxueux Studio, fabuleuse terrasse, Parking privé","Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '2 lits', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Bidet', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Produits de base', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Fer à repasser', 'Espace de rangement pour les vêtements\xa0: placard, armoire et commode']}, {'Divertissement': ['Connexion Ethernet', 'Télévision']}, {'Famille': ['Table à langer\xa0: toujours dans le logement', 'Grilles de fenêtre']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage']}, {'Internet et bureau': ['Wifi', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière', 'Four', 'Bouilloire électrique', 'Cafetière', 'Plaques de cuisson', 'Blender', 'Table à manger']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue', 'Ascenseur']}, {'Services': ['Animaux acceptés', 'Dépôt de bagages autorisé', 'Logement fumeur', 'Séjours longue durée autorisés', 'Arrivée autonome', 'Serrure connectée']}]"
id,url,title,description,overview,items,amenities
1723803429489804684,https://fr.airbnb.com/rooms/1723803429489804684,"Villa de rêve avec piscine privée, sans vis-à-vis","Offrez-vous un séjour exceptionnel dans cette élégante villa située dans un quartier calme et<br />Quartier sécurisé, à seulement 8 minutes de la plage et à proximité de toutes les commodités.<br />Profitez d'un jardin avec piscine privée, d'un double salon lumineux, d'une salle à manger, d'une cuisine équipée et de toilettes invités. À l'étage, 3 chambres confortables, dont une superbe suite parentale avec dressing, 2 salles de bain complètes et un balcon <br />Les fêtes et les invités sont interdits.","Logement entier : villa - Tamaris, Maroc","['8 voyageurs', '3 chambres', '6 lits', '2,5\xa0salles de bain']","[{'Salle de bain': ['Douche extérieure', 'Eau chaude']}, {'Chambre et linge': ['Lave-linge', 'Stores ou rideaux occultants', 'Espace de rangement pour les vêtements\xa0: placard']}, {'Divertissement': ['Télévision']}, {'Chauffage et climatisation': ['Climatiseur de fenêtre']}, {'Sécurité à la maison': ['Caméras de surveillance extérieures présentes sur place']}, {'Internet et bureau': ['Wifi']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Four à micro-ondes', 'Mini réfrigérateur', 'Congélateur', 'Lave-vaisselle', 'Cuisinière à gaz', 'Four Simple', 'Cafetière\xa0: Nespresso', 'Blender', 'Compacteur de déchets', 'Table à manger']}, {""Caractéristiques de l'emplacement"": ['Entrée privée']}, {'Extérieur': ['Jardin - Clôture intégrale', 'Brasero', 'Espace repas en plein air']}, {'Parking et installations': ['Allée de stationnement gratuite sur place\xa0: 2\xa0places', 'Piscine']}]"
id,url,description,title,overview,items,amenities
1706630900269379735,https://fr.airbnb.com/rooms/1706630900269379735,"rofitez d’un séjour confortable au cœur de Casablanca dans cette chambre de luxe élégante, située au sein de l’Hôtel Mauritania. Idéale pour les voyageurs d’affaires, les couples ou les courts séjours, une salle de bain privée, une connexion Wi-Fi gratuite et un espace calme pour se détendre.<br />Vous profiterez également d’un petit-déjeuner inclus, d’un parking privé gratuit, d’un service d’étage et d’une réception ouverte 24h/24 pour un séjour simple, pratique et agréable.",Chambre de luxe avec lit king size / petit déjeuner inclus,"Chambre · Casablanca, Maroc","['1 lit king size', 'Salle de bain privée attenante']","[{'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Shampoing', 'Après-shampoing', 'Savon pour le corps', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Produits de base', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Fer à repasser', 'Étendoir à linge', 'Coffre-fort', 'Espace de rangement pour les vêtements\xa0: placard']}, {'Divertissement': ['Connexion Ethernet', 'Télévision', 'Pièce à thème']}, {'Famille': ['Table à langer', 'Grilles de fenêtre']}, {'Chauffage et climatisation': ['Climatisation centrale', 'Chauffage central']}, {'Vie privée et sécurité': ['Serrure ou verrou sur la porte de la chambre', 'Détecteur de fumée', 'Détecteur de monoxyde de carbone', 'Extincteur', 'Trousse de premiers secours']}, {'Internet et bureau': ['Wifi', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Mini réfrigérateur', 'Bouilloire électrique', 'Cafetière\xa0: Nespresso', 'Verres à vin', 'Café']}, {""Caractéristiques de l'emplacement"": ['Entrée privée', 'Laverie automatique à proximité']}, {'Extérieur': ['Espace repas en plein air']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Ascenseur', 'Portier']}, {'Services': ['Dépôt de bagages autorisé', 'Petit-déjeuner', 'Ménage disponible pendant le séjour']}]"
id,url,description,title,overview,items,amenities
1476134610167368500,https://fr.airbnb.com/rooms/1476134610167368500,"Plongez dans une ambiance chaleureuse aux tons orange et bohèmes inspirés de Marrakech. Ce studio lumineux et joliment décoré offre tout le confort dont vous avez besoin : cuisine équipée, espace repas, coin nuit cosy et salle de bain moderne. Idéalement situé en centre-ville, vous serez à quelques pas des restaurants, cafés, commerces et principaux lieux touristiques. Ici, tout est pensé pour que votre séjour soit à la fois pratique et dépaysant.",Charme Oriental Bohème Central maarif,"Logement entier : appartement - Casablanca, Maroc","['4 voyageurs', '1 chambre', '3 lits', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Shampoing l’oreal', 'Savon pour le corps marseillais', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Fer à repasser', 'Espace de rangement pour les vêtements']}, {'Divertissement': ['Télévision']}, {'Chauffage et climatisation': ['Climatisation']}, {'Sécurité à la maison': ['Caméras de surveillance extérieures présentes sur place']}, {'Internet et bureau': ['Wifi']}, {'Cuisine et salle à manger': ['Cuisine', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière électrique Other', 'Four Bosh', 'Bouilloire électrique', 'Cafetière\xa0: Nespresso', 'Verres à vin', 'Grille-pain', 'Table à manger']}, {'Parking et installations': ['Ascenseur', 'Stationnement payant dans la rue']}, {'Services': ['Logement fumeur']}]"
id,url,title,description,overview,items,amenities
1088484911738067391,https://fr.airbnb.com/rooms/1088484911738067391,Studio Cosy neuf à louer  !,"Simplifiez-vous la vie dans ce logement paisible et central. Détendez vous dans cet appartement cosy au coeur de Casablanca. Emplacement stratégique, proches de toutes commodités vous profiterez d’un séjour tout en étant au coeur de la ville.                                                                             Il comporte un lit pour 2 personnes, cuisine équipée, salle de bains et parking gratuit.","Logement entier : appartement - Casablanca, Maroc","['2 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Eau chaude']}, {'Chambre et linge': ['Lave-linge']}, {'Divertissement': ['Télévision']}, {'Chauffage et climatisation': ['Climatisation']}, {'Internet et bureau': ['Wifi']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur']}, {'Parking et installations': ['Stationnement gratuit sur place']}, {'Services': ['Logement fumeur', 'Arrivée autonome', 'Serrure numérique']}]"
id,url,description,title,overview,items,amenities
779612364428099604,https://fr.airbnb.com/rooms/779612364428099604,"Votre appartement de rêve ! <br />Situé dans le centre de Casablanca (Val-Fleuri Maarif) dans un immeuble flambant neuf de très haut standing.<br />Calme et très bien situé, avec toutes les commodités à deux pas. Supermarché Carrefour, station de tramway, banques, restaurants, souk traditionnel, pharmacie… Vous avez tout.<br />Literie d'hôtel 5 étoiles, draps et serviettes blancs, nettoyage et désinfection professionnels, cuisine entièrement équipée… nous avons pris soin de tous les détails, nous voulons que vous passiez le meilleur séjour possible.",Appartement exclusif idéalement situé - parking gratuit,"Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '2 lits', '1,5\xa0salles de bain']","[{'Vues panoramiques': ['Vue panoramique sur la ville']}, {'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Shampoing Carrefour ', 'Savon pour le corps Carrefour ', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge (Gratuit) dans le logement', 'Produits de base', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Fer à repasser', 'Étendoir à linge', 'Espace de rangement pour les vêtements']}, {'Divertissement': ['TV HD 42\xa0pouces avec télévision par câble haut de gamme']}, {'Famille': ['Lit pour bébé\xa0: disponible sur demande']}, {'Chauffage et climatisation': ['Climatisation centrale', 'Chauffage']}, {'Sécurité à la maison': ['Extincteur', 'Trousse de premiers secours']}, {'Internet et bureau': ['Vitesse du réseau wifi\xa0: 21\xa0Mbps']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière à induction Zanussi ', 'Four Zanussi  en acier inoxydable', 'Bouilloire électrique', 'Cafetière', 'Verres à vin', 'Blender', 'Table à manger', 'Café']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue', 'Ascenseur']}, {'Services': ['Animaux acceptés', 'Dépôt de bagages autorisé', 'Séjours longue durée autorisés', 'Arrivée autonome', 'Boîte à clé sécurisée', 'Ménage disponible pendant le séjour']}]"
id,url,title,description,overview,items,amenities
1493655455776605817,https://fr.airbnb.com/rooms/1493655455776605817,Studio Épuré à Bourgogne à 2min de la mosquée H II,"Bienvenue dans votre escapade cosy et confortable au cœur du quartier Bourgogne à Casablanca, à quelques pas de l'avenue Zerktouni Maarif et de l'emblématique mosquée Mohamed VI ainsi que la corniche Ain diab. L'espace est soigneusement conçu avec une esthétique propre et moderne et dispose de tout ce dont vous avez besoin pour passer un bon séjour<br />Le logement","Logement entier : appartement - Casablanca, Maroc","['4 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Shampoing', 'Après-shampoing', 'Savon pour le corps', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Sèche-linge\xa0: dans le logement', 'Produits de base', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Étendoir à linge', 'Espace de rangement pour les vêtements\xa0: placard et armoire']}, {'Divertissement': ['Connexion Ethernet', 'Télévision', 'Livres et de quoi lire']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage central']}, {'Sécurité à la maison': ['Caméras de surveillance extérieures présentes sur place']}, {'Internet et bureau': ['Wifi']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Mini réfrigérateur', 'Cuisinière électrique Other', 'Four', 'Bouilloire électrique', 'Cafetière\xa0: Nespresso', 'Verres à vin', 'Café']}, {""Caractéristiques de l'emplacement"": ['Entrée privée', 'Laverie automatique à proximité']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Ascenseur', ""Stationnement payant à l'extérieur de la propriété""]}, {'Services': ['Dépôt de bagages autorisé', 'Séjours longue durée autorisés', 'Service de ménage\xa0: disponible moyennant un supplément']}]"
id,url,title,description,overview,items,amenities
1743873490773846202,https://fr.airbnb.com/rooms/1743873490773846202,Studio Maarif / Centre-ville / Arrivée autonome et climatisation,"Détendez-vous en famille dans cet hébergement paisible.<br /><br />Le numéro de carte d'identité de tous les voyageurs est obligatoire (nous notons simplement le numéro de la carte d'identité, nous ne conservons pas les cartes). Merci de votre compréhension 🙏","Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Produits de nettoyage', 'Shampoing', 'Eau chaude']}, {'Chambre et linge': ['Lave-linge', 'Produits de base', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Fer à repasser', 'Étendoir à linge', 'Espace de rangement pour les vêtements']}, {'Divertissement': ['Connexion Ethernet', 'Télévision']}, {'Famille': ['Livres et jouets pour enfants', 'Grilles de fenêtre']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage']}, {'Sécurité à la maison': ['Caméras de surveillance extérieures présentes sur place', 'Extincteur', 'Trousse de premiers secours']}, {'Internet et bureau': ['Wifi']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Four à micro-ondes', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Lave-vaisselle', 'Cuisinière', 'Four', 'Bouilloire électrique', 'Cafetière', 'Grille-pain', 'Compacteur de déchets', 'Table à manger']}, {'Extérieur': ['Patio ou balcon']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue', 'Ascenseur']}, {'Services': ['Séjours longue durée autorisés', 'Arrivée autonome', 'Serrure numérique']}]"
id,url,title,description,overview,items,amenities
